,Unnamed: 0,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos,cluster
1,1,AFCR11,Híbrido,106.8,0.0017359604201024218,0.052472858866103735,0.42268041237113396,0.0,0.0,0.0,0.2048076923076923,0.6514650804141882,0.6598654221836335,0.8103420062182948,0.016039306124816133,0.028319734110760345,0.5929203539823009,0.06063829787234042,0.0,2
5,6,ATSA11,Shoppings,110.49,4.084612753182169e-05,0.015078407720144757,0.09278350515463918,0.13513513513513514,0.1746031746031746,0.1798561151079137,0.035576923076923075,0.6362634941617096,0.6307792489689603,0.6845033546064474,0.048523597011106624,0.030904448929600307,0.5486725663716814,0.20106382978723406,0.015625,2
12,15,BICR11,Títulos e Val. Mob.,101.41,0.0,0.011459589867310013,0.0979381443298969,0.14189189189189189,0.19047619047619047,0.0,0.2798076923076923,0.7067636043181317,0.700672889081832,0.4840451644575356,0.011025820602068312,0.027373826240461856,0.5752212389380531,0.06063829787234042,0.0,2
16,19,BPML11,Shoppings,99.99,0.01566959567439509,0.016887816646562127,0.1597938144329897,0.0,0.0,0.0,0.029807692307692306,0.619960343688037,0.6175385283264597,0.6715758468335787,0.15396708286724692,0.03815545090191884,0.3185840707964602,0.05957446808510637,0.109375,2
21,24,BZLI11,Títulos e Val. Mob.,14.6,0.16947058312952815,0.0,0.0,0.0,0.0,0.0,0.0,0.6349416170962767,0.6255697851096158,0.6851579119620357,0.11236512815201284,0.002573214419201067,0.7522123893805309,0.06063829787234042,0.0,2
32,38,DOMC11,Lajes Corporativas,439.0,0.0002042306376591084,0.0,0.0,0.0,0.0,0.0,0.0,0.7157964309319234,0.7052311699587585,0.5028636884306987,0.06734260101847557,0.3047778410299757,0.02654867256637168,0.2493617021276596,0.015625,2
37,45,FATN11,Híbrido,100.2,1.0211531882955423e-05,0.0367913148371532,0.31443298969072164,0.0,0.0,0.0,0.05865384615384616,0.619960343688037,0.6240503581506404,0.6764850270004908,0.010010289391680341,0.0278798438245729,0.5486725663716814,0.24468085106382975,0.0,2
45,53,FLRP11,Shoppings,1340.0,8.679802100512108e-05,0.1718938480096502,0.10824742268041238,0.16216216216216214,0.3412698412698413,0.30935251798561153,0.15096153846153845,0.5417492839832562,0.5380942044714565,0.6799214531173293,0.02570321900355584,0.4574398960363872,0.4070796460176992,0.02085106382978724,0.015625,2
48,57,GCFF11,Títulos e Val. Mob.,101.99,0.0008526629122267777,0.05126658624849216,0.0,0.0,0.0,0.0,0.0,0.619960343688037,0.6108096375081398,0.6665030273277696,0.0,0.027077690949760504,0.5929203539823009,0.06063829787234042,0.0,2
65,76,HMOC11,Shoppings,231.0,0.00025018253113240786,0.030156815440289513,0.1134020618556701,0.08783783783783784,0.07936507936507937,0.1942446043165468,0.17115384615384616,0.7100682969817141,0.7045799869763404,0.5442644411716576,0.02160943558528902,0.06588866463109593,0.5486725663716814,0.04468085106382979,0.015625,2
66,77,HPDP11,Shoppings,88.0,5.105765941477712e-06,0.015078407720144757,0.1443298969072165,0.07432432432432433,0.1507936507936508,0.0,0.10865384615384614,0.619960343688037,0.6168873453440417,0.8001963672066764,0.07232129533409028,0.026680927162218884,0.4778761061946903,0.046808510638297884,0.015625,2
72,83,JPPA11,Títulos e Val. Mob.,98.8,4.59518934732994e-05,0.03739445114595899,0.31443298969072164,0.0,0.0,0.0,0.05865384615384616,0.619960343688037,0.6240503581506404,0.6764850270004908,0.011710858117967656,0.028520991104440882,0.5221238938053098,0.06063829787234042,0.0,2
79,92,LASC11,Shoppings,99.15,0.0005973746151528923,0.016284680337756336,0.13917525773195874,0.14864864864864866,0.0,0.0,0.09423076923076924,0.6181978409341266,0.6149337963967876,0.6660121093110783,0.06239551264752957,0.026709678161316103,0.5752212389380531,0.061702127659574474,0.046875,2
92,106,NCHB11,Títulos e Val. Mob.,94.0,0.0018380757389319761,0.01930036188178529,0.1752577319587629,0.07432432432432433,0.047619047619047616,0.0,0.032692307692307694,0.619960343688037,0.6181897113088778,0.6720667648502701,0.0116697665379125,0.025076621412594084,0.584070796460177,0.06063829787234042,0.0,2
102,119,PATL11,Híbrido,96.6,0.14388048423084188,0.02955367913148372,0.26288659793814434,0.0,0.0,0.0,0.04903846153846154,0.619960343688037,0.6218797482092469,0.6748486336115201,0.12716267553759372,0.027017313851656344,0.5486725663716814,0.07446808510638298,0.03125,2
106,123,PQAG11,Logística,652.02,0.03622030358884288,0.20868516284680336,0.0,0.0,0.0,0.0,0.0,0.619960343688037,0.6108096375081398,0.6665030273277696,0.20517163561610494,0.1585042580229663,0.7079646017699115,0.06063829787234042,0.015625,2
109,126,PVBI11,Lajes Corporativas,99.83,0.12880826317159969,0.02714113389626056,0.23195876288659795,0.10135135135135134,0.06349206349206349,0.02877697841726619,0.04326923076923077,0.6109275170742454,0.6116778814846972,0.6671575846833578,0.2488550110068049,0.02693393595427441,0.5752212389380531,0.0,0.03125,2
111,128,QMFF11,Títulos e Val. Mob.,99.97,8.169225506364337e-05,0.04523522316043426,0.3865979381443299,0.0,0.0,0.0,0.07211538461538461,0.619960343688037,0.6270892120685913,0.6787759777450498,0.0019759563476535046,0.02830248351130201,0.5398230088495575,0.06063829787234042,0.0,2
112,129,RBBV11,Títulos e Val. Mob.,91.39,0.0028694404591104736,0.01930036188178529,0.18041237113402064,0.14189189189189189,0.15873015873015875,0.2374100719424461,0.2769230769230769,0.6593963428067856,0.6574777512481007,0.667484863361152,0.03151328301932228,0.027983347421322892,0.4690265486725664,0.06063829787234042,0.015625,2
128,149,RFOF11,Títulos e Val. Mob.,86.0,0.012376376642141971,0.030156815440289513,0.30927835051546393,0.3310810810810811,0.0,0.0,0.22884615384615384,0.7105089226701916,0.7136965487301933,0.7262313860252004,0.025346864152777808,0.02653429706682307,0.4601769911504425,0.06063829787234042,0.0,2
133,154,SARE11,Híbrido,96.14,0.01877900713275502,0.011459589867310013,0.09278350515463918,0.16216216216216214,0.2142857142857143,0.0,0.2298076923076923,0.6043181317470808,0.5995224658128935,0.6013745704467354,0.09407377474201276,0.027897094424031238,0.5132743362831859,0.0,0.03125,2
136,157,SHPH11,Shoppings,887.0,0.0003012401905471849,0.06513872135102534,0.061855670103092786,0.1216216216216216,0.11111111111111112,0.17266187050359713,0.16826923076923075,0.5631196298744218,0.5574126329498589,0.5027000490918017,0.12564493732840307,0.2248011868412427,0.6637168141592921,0.08936170212765958,0.015625,2
144,166,URPR11,Outros,111.13,0.02165865912374845,0.12967430639324487,1.0,0.0,0.0,0.0,0.3038461538461539,0.619960343688037,0.6529194703711744,0.7185403370970381,0.006169193464341114,0.028308233711121462,0.6371681415929203,0.06063829787234042,0.0,2
