,Ativo,Nome,Período,Dividendo,Dividend Yield,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Vacância Física
0,GWIR11,FII GWI RI,Novembro/2016,0.0551678708907141,0.441860465116279,0.8700947225981055,0.8686934023285899,0.0,0.025689550618407764,214.6766,0.7571845064556435,11.1
2,BNFS11,FII BANRISUL,Novembro/2016,0.0326190329154573,0.5581395348837209,0.5378890392422192,0.5608020698576973,0.580113482842475,0.01770465100181786,94.7022,0.8270512286547272,11.1
3,THRA11B,FII BM THERA,Novembro/2016,0.0,0.0,0.479702300405954,0.45860284605433377,0.6007835720075655,0.036744539435273046,70.46,0.7728029987505206,11.1
4,TRNT11B,FII TORRE NO,Novembro/2016,0.03207970522242121,0.3798449612403101,0.5290933694181327,0.53751617076326,0.31572547960010805,0.3189956140362778,167.548,0.6104748021657642,11.1
5,MFII11,FII MERITO I,Novembro/2016,0.04816896189711604,0.8604651162790699,0.513531799729364,0.5627425614489003,0.4094839232639827,0.004703553358141325,102.11,0.6999167013744273,11.1
6,ONEF11,FII THE ONE,Novembro/2016,0.2634883385825151,0.5503875968992248,0.6109607577807848,0.6300129366106081,0.5029721696838693,0.032909285257087514,1056.2292,0.5171803415243649,0.0
7,KNRI11,FII KINEA,Novembro/2016,0.037876448671236546,0.49612403100775193,0.6123139377537213,0.6267787839586029,0.8340988921912997,1.0,144.96,0.6560807996668055,2.4
8,FIGS11,FII GEN SHOP,Novembro/2016,0.03430700508450153,1.0,0.34100135317997293,0.4094437257438551,0.5380978114023237,0.10161865012118242,89.32,0.37817576009995835,11.1
9,PORD11,FII POLO CRI,Novembro/2016,0.0,0.0,0.4431664411366712,0.4236739974126779,0.41083490948392326,0.04024557477503196,110.6643,0.6375468554768846,11.1
10,TRXL11,FII TRX LOG,Novembro/2016,0.020436814261306325,0.7209302325581396,0.3991880920162381,0.4424320827943079,0.16590110780870035,0.055430055129526964,85.22,0.27519783423573513,11.1
11,BBFI11B,FII BB PROGR,Novembro/2016,1.0,0.7054263565891473,0.36671177266576455,0.4094437257438551,0.7045393136990002,0.23571607672913286,3811.2028,0.35537276134943774,11.1
12,CEOC11B,FII CEO CCP,Novembro/2016,0.0,0.0,0.31393775372124494,0.3001293661060802,0.7635774115104026,0.04466320948463397,65.7382,0.6945022907122033,11.1
13,SPTW11,FII SP DOWNT,Novembro/2016,0.02202597830338212,0.7131782945736435,0.14411366711772666,0.19728331177231564,0.39084031342880304,0.0722154646043132,96.5508,0.2521865889212828,11.1
14,MBRF11,FII MERC BR,Novembro/2016,0.30054138619568127,0.6511627906976744,0.3227334235453315,0.3628719275549806,0.6222642529046204,0.050359646932387085,1284.3708,0.32934194085797586,20.92
16,TBOF11,FII TBOFFICE,Novembro/2016,0.0087033491838037,0.2558139534883721,0.4181326116373478,0.4217335058214748,0.43177519589300195,0.3535656568354226,72.3829,0.5337359433569346,11.1
18,RNGO11,FII RIONEGRO,Novembro/2016,0.026760534387286688,0.6434108527131782,0.4404600811907984,0.4754204398447607,0.41259119156984597,0.11169860790029162,93.9173,0.4895876718034152,14.1
19,HGCR11,FII CSHG CRI,Novembro/2016,0.37053047613166185,0.7131782945736435,0.36400541271989173,0.407503234152652,0.4117805998378817,0.0376468018766324,1008.02,0.6348396501457726,11.1
20,DRIT11B,FII MTGESTAO,Novembro/2016,0.02140842750982935,0.38759689922480617,0.4174560216508796,0.4307891332470893,0.30491758984058365,0.013882462151740322,126.8515,0.4839650145772595,20.7
21,XPGA11,FII XP GAIA,Novembro/2016,0.04034665184544762,0.868217054263566,0.7266576454668472,0.7671410090556274,0.4735206700891651,0.043029262172472174,110.51,0.4463765097875885,11.1
22,CNES11B,FII CENESP,Novembro/2016,0.015208217542559542,0.3333333333333333,0.22395128552097426,0.24126778783958605,0.3051877870845717,0.13306761529829003,99.4791,0.5254060807996668,11.1
23,CARE11,FII DEA CARE,Novembro/2016,0.0,0.0,0.38971583220568334,0.37257438551099614,0.19184004323155904,0.009165827052336581,1.2886,0.8370470637234486,11.1
24,FEXC11B,FII EXCELLEN,Novembro/2016,0.034171143909919925,0.6124031007751938,0.12516914749661703,0.17076326002587322,0.6196973790867333,0.06030450581248235,102.7532,0.6915868388171595,11.1
25,FCFL11B,FII CAMPUSFL,Novembro/2016,0.4399390683217028,0.4883720930232558,0.422192151556157,0.44437257438551103,0.8994866252364226,0.10945317932565361,1478.4577,0.8212203248646397,11.1
27,WMRB11B,FII WM RBCAP,Novembro/2016,0.07084542703637374,0.3255813953488372,0.4857916102841678,0.49159120310478654,0.7565522831667117,0.0,475.74,0.5206164098292378,11.1
28,EDGA11B,FII GALERIA,Novembro/2016,0.013388501204224046,0.434108527131783,0.06968876860622458,0.10284605433376455,0.5671440151310457,0.15663846400835058,89.135,0.3019575177009579,11.1
29,CBOP11,FII C BRANCO,Novembro/2016,0.20173325922723812,0.6046511627906976,0.25372124492557513,0.2930142302716688,0.3208592272358822,0.03808084526115705,751.96,0.49198250728862974,7.0
30,HCRI11B,FII CRIANCA,Novembro/2016,0.09913337038638095,0.7596899224806202,0.560893098782138,0.5996119016817594,0.5290462037287219,0.010091835452176278,256.5268,0.6257809246147439,11.1
31,PRSV11,FII P VARGAS,Novembro/2016,0.08234010580703596,0.31007751937984496,0.395128552097429,0.40297542043984474,0.1876519859497433,0.06237638266764053,790.9217,0.29102457309454394,11.1
32,ATSA11B,FII CSHGATSA,Novembro/2016,0.0,0.0,0.0,0.0,0.20980815995676844,0.10021881897178636,1341.33,0.3566222407330279,11.1
33,BMLC11B,FII BMBRC LC,Novembro/2016,0.02619650466250849,0.5736434108527132,0.35926928281461434,0.3913324708926261,0.5551202377735748,0.03985663425625873,110.0742,0.4385672636401499,11.1
34,HTMX11B,FII HOTEL MX,Novembro/2016,0.015998682558307088,0.24806201550387597,0.3829499323410014,0.38745148771022,0.7589840583626047,0.064684755095125,141.8941,0.506872136609746,11.1
35,VRTA11,FII FATOR VE,Novembro/2016,0.04875357664834599,0.7209302325581396,0.5595399188092016,0.5950840879689521,0.7076465820048636,0.07221735842122627,102.45,0.9142024156601416,11.1
37,CXCE11B,FII CX CEDAE,Novembro/2016,0.7584141295621566,0.6201550387596899,0.45602165087956703,0.4877102199223804,0.79613617941097,0.06498779188649816,2325.964,0.6599333610995418,11.1
38,CXTL11,FII CX TRX,Novembro/2016,0.19378332201156878,0.6821705426356589,0.46008119079837617,0.49676584734799484,0.5185085112131856,0.0077537027601549775,871.37,0.2658267388588088,11.1
40,JSRE11,FII JS REAL,Novembro/2016,0.035406245497025465,0.6666666666666666,0.3633288227334236,0.40297542043984474,0.5945690353958389,0.33553074625847973,107.2295,0.5989171178675552,100.0
41,RBGS11,FII RB GSB I,Novembro/2016,0.006093167829720661,0.3255813953488372,0.4844384303112314,0.48965071151358347,0.5970008105917319,0.038230779599485974,98.98,0.0,11.1
42,FFCI11,FII RIOB RC,Novembro/2016,0.0004816896189711604,0.5271317829457365,0.11772665764546687,0.15717981888745147,0.8612537152121049,0.10934013612484908,1.781,0.6271345272802998,6.8
44,MXRF11,FII MAXI REN,Novembro/2016,0.032936042322814385,0.7054263565891473,0.36671177266576455,0.4094437257438551,0.45541745474196166,0.10892146011112766,106.91,0.4824031653477718,11.1
45,BPFF11,FII ABSOLUTO,Novembro/2016,0.02758393544535705,0.6124031007751938,0.7077131258457375,0.7276843467011643,0.9113753039718997,0.07042423379248504,85.0361,0.6617034568929613,11.1
47,RBVO11,FII RIOBCRI2,Novembro/2016,0.030877539677638486,0.6666666666666666,0.6197564276048715,0.648124191461837,0.5666036206430695,0.010109698968624422,99.53,0.5339441899208663,11.1
48,SDIL11,FII SDI LOG,Novembro/2016,0.02717223491632187,0.689922480620155,0.6461434370771313,0.6752910737386805,0.5643069440691705,0.05473055071933282,96.7288,0.4198250728862974,23.0
49,FIIP11B,FII RB CAP I,Novembro/2016,0.0518701496531423,0.6201550387596899,0.4925575101488498,0.5226390685640363,0.6060524182653337,0.06426717473946944,170.3606,0.5863182007496877,11.1
50,CTXT11,FII C TEXTIL,Novembro/2016,0.0013339097140739825,0.6821705426356589,0.35994587280108253,0.4003880983182406,0.6646852202107538,0.04614408437103589,3.3666,0.7662432319866722,11.1
51,RBDS11,FII RBRESID2,Novembro/2016,0.052063648901788835,0.18604651162790697,0.1860622462787551,0.19340232858990944,0.322885706565793,0.017870162688584785,526.5234,0.6645147855060392,11.1
52,FLRP11B,FII FLORIPA,Novembro/2016,0.2299800325243418,0.5116279069767442,0.759810554803789,0.7690815006468306,0.8935422858686842,0.01275948701413571,1178.2654,0.37047063723448564,11.1
54,REIT11B,FII REIT RIV,Novembro/2016,0.0,0.0,0.38971583220568334,0.37257438551099614,0.5499864901378007,0.00027546069046990087,1216.4389,0.6508746355685131,11.1
55,FPAB11,FII A BRANCA,Novembro/2016,0.07204759258115646,0.441860465116279,0.408660351826793,0.42755498059508407,0.3274790597135909,0.1384258187197043,405.2484,0.4112869637650979,25.84
56,PQDP11,FII D PEDRO,Novembro/2016,0.5865373927005496,0.5426356589147286,0.37415426251691475,0.40297542043984474,1.0,0.2744651308532421,2397.4452,0.5090587255310287,11.1
57,CXRI11,FII CX RBRAV,Novembro/2016,0.32936042322814385,0.6201550387596899,0.4479025710419486,0.4799482535575679,0.8305863280194542,0.06815321296491093,1050.932,0.6175551853394419,11.1
58,FVBI11B,FII VBI 4440,Novembro/2016,0.027443957265485083,0.5891472868217054,0.5013531799729364,0.5278137128072445,0.5320183734125912,0.07510487080572927,83.389,0.7271970012494794,11.1
60,BBPO11,FII BB PRGII,Novembro/2016,0.03931740052285967,0.5968992248062015,0.13870094722598106,0.18240620957309184,0.7726290191840043,0.7406896789578964,93.56,1.0,11.1
61,HGBS11,FII CSHGSHOP,Novembro/2016,0.5681467300685482,0.5348837209302325,0.34303112313937756,0.37322121604139713,0.9404215077006215,0.5601603937701788,2110.06,0.6084964598084132,11.1
62,KNIP11,FII KINEA IP,Novembro/2016,0.03252434179377921,0.5348837209302325,0.6021650879566983,0.6203104786545925,0.2084571737368279,0.18739262085762964,100.08,0.8215326947105372,11.1
63,RNDP11,FII BB R PAP,Novembro/2016,0.4268881615512876,0.7906976744186046,0.37347767253044656,0.4223803363518758,0.529181302350716,0.040738105980675704,1038.638,0.6476468138275718,11.1
64,GRLV11,FII LOUVEIRA,Novembro/2016,0.2676053438728669,0.5503875968992248,0.3633288227334236,0.3939197930142303,0.46311807619562284,0.04422128750659401,1103.75,0.4853186172428155,7.0
65,HGRE11,FII HG REAL,Novembro/2016,0.4158175343255316,0.5968992248062015,0.19079837618403248,0.23221216041397155,0.6767089975682248,0.553048780148703,1517.17,0.5248854643898375,25.0
66,ABCP11,FII ABC IMOB,Novembro/2016,0.0030877539677638486,0.49612403100775193,0.4228687415426252,0.4450194049159121,0.6427992434477169,0.32918439321861775,11.1351,0.7219908371511871,1.3
67,AGCX11,FII AG CAIXA,Novembro/2016,0.359414561847712,0.5348837209302325,0.2510148849797023,0.28460543337645533,0.774115104025939,0.19005529600806428,1001.4103,0.9436693044564765,11.1
68,BCFF11B,FII BC FFII,Novembro/2016,0.022231828567899712,0.5968992248062015,0.26928281461434367,0.3078913324708926,0.7412861388813834,0.17071841389232104,87.17,0.45803831736776346,11.1
69,ALMI11B,FII TORRE AL,Novembro/2016,0.996442907429136,0.9689922480620154,0.506765899864682,0.5659767141009056,0.9597406106457713,0.14166175610943155,2963.7669,0.3031028738025823,11.1
70,BBVJ11,FII C JARDIM,Novembro/2016,0.008234010580703596,0.2713178294573643,0.38971583220568334,0.39521345407503233,0.43704404215077003,0.09421122814078586,80.0362,0.3635985006247397,11.1
71,BCIA11,FII BCIA,Novembro/2016,0.04240515449062352,0.7286821705426356,0.4370771312584574,0.47930142302716694,0.7372331802215618,0.029022789327645324,107.9992,0.6759683465222824,11.1
72,DOMC11,FII DOMO,Novembro/2016,0.0,0.0,0.6515561569688768,0.6228978007761966,0.2068359902728992,0.07489570526906734,1022.1403,0.16243231986672219,11.1
73,HGLG11,FII CSHG LOG,Novembro/2016,0.3581794602606064,0.5968992248062015,0.26928281461434367,0.30724450194049163,0.5539043501756282,0.1710383548103734,1082.43,0.7145980841316119,11.1
75,EURO11,FII EUROPAR,Novembro/2016,0.04528705819386978,0.441860465116279,0.39309878213802435,0.4126778783958603,0.534044852742502,0.04743693346743469,351.6078,0.19273219491878385,16.41
76,SHPH11,FII HIGIENOP,Novembro/2016,0.13586117458160932,0.31782945736434104,0.5108254397834913,0.5148771021992238,0.7372331802215618,0.16365663940096528,611.3987,0.9928154935443565,11.1
78,BBRC11,FII BB CORP,Novembro/2016,0.03252434179377921,0.5271317829457365,1.0,1.0,0.8522021075385031,0.057610921847534226,91.0998,0.9584548104956269,11.1
80,VLOL11,FII OLIMPIA,Novembro/2016,0.016385681055600156,0.4186046511627907,0.38024357239512857,0.39844760672703755,0.6948122129154283,0.06345322313068132,87.5992,0.4988546438983757,13.0
81,FAED11B,FII ANH EDUC,Novembro/2016,0.0636571357994195,0.6046511627906976,0.5480378890392422,0.574385510996119,0.8623345041880573,0.03678451638806528,161.7194,0.8962932111620159,11.1
82,FLMA11,FII S F LIMA,Novembro/2016,0.000510508656003623,0.441860465116279,0.26928281461434367,0.2943078913324709,0.606863009997298,0.0922651054204502,3.0864,0.3579758433985839,11.1
83,HGJH11,FII CSHGJHSF,Novembro/2016,0.3087753967763849,0.4728682170542635,0.4993234100135318,0.5168175937904269,0.6683328830045934,0.07085296675703048,1035.86,0.8577675968346522,12.5
85,RBRD11,FII RB II,Novembro/2016,0.01939932892813767,0.5736434108527132,0.2029769959404601,0.24191461836998707,0.6541475276952176,0.04775844138200312,67.7474,0.6013119533527697,11.1
86,RDES11,FII RD ESCRI,Novembro/2016,0.007978756252701785,0.24806201550387597,0.4228687415426252,0.42496765847348,0.07997838422048094,0.020172078797820816,95.8878,0.27426072469804247,50.53
87,SAAG11,FII SANT AGE,Novembro/2016,0.03375944338088474,0.5581395348837209,0.21921515561569688,0.2554980595084088,0.8631450959200216,0.24744106502771046,92.08,0.9218034152436485,11.1
88,NSLU11B,FII LOURDES,Novembro/2016,0.062150311863150745,0.6201550387596899,0.428958051420839,0.46183699870633893,0.4697379086733315,0.09050655017652907,183.0933,0.6916909620991254,11.1
89,AEFI11,FII AESAPAR,Novembro/2016,0.04528705819386978,0.6511627906976744,0.47902571041948583,0.5122897800776197,0.8070791677924886,0.03446206816431707,131.9325,0.6548313202832153,11.1
90,BCRI11,FII BEES CRI,Novembro/2016,0.04816896189711604,0.8062015503875969,0.5433017591339648,0.5866752910737387,0.7850580924074575,0.02870567080668613,95.9,0.8465222823823407,11.1